LB,LT,KT,KM,GRS,HARGA_JUTA
300,200,5,7,4,65000
400,1075,4,3,4,55000
1126,1224,4,4,2,55000
850,600,5,5,5,42000
600,624,3,3,2,42000
900,600,7,7,1,42000
850,600,7,7,0,41000
500,720,6,6,3,38000
500,720,5,5,2,37000
599,469,4,3,0,35000
400,600,5,3,4,35000
800,700,6,7,10,35000
1000,1400,10,7,7,35000
1000,670,6,5,2,31000
1000,670,8,6,4,30900
800,498,6,6,9,30000
800,498,5,5,5,30000
800,752,6,4,0,30000
800,498,5,5,9,30000
498,750,6,6,0,30000
900,672,5,6,4,30000
500,703,8,4,8,30000
500,703,7,4,8,30000
815,312,10,7,1,30000
900,672,5,6,4,29000
1000,670,5,5,5,29000
980,672,5,6,4,29000
1000,775,5,3,5,28000
500,703,8,4,6,28000
750,498,5,5,3,28000
350,1069,4,4,5,27000
550,485,4,3,2,26000
600,1039,7,5,10,25900
355,1069,5,4,4,25000
550,485,5,4,4,25000
1080,619,5,6,2,25000
600,1000,10,10,10,25000
890,271,5,6,3,25000
350,565,5,5,4,25000
350,565,5,5,1,25000
350,565,4,4,4,25000
550,840,5,3,6,25000
485,550,5,6,2,25000
400,932,7,5,9,25000
550,485,5,5,2,25000
550,485,4,4,3,25000
700,619,5,4,10,25000
353,535,10,10,6,25000
480,600,10,4,2,23000
1000,498,8,9,5,23000
700,619,5,5,10,23000
350,565,5,3,4,23000
750,610,8,6,4,23000
750,610,6,4,4,23000
700,987,4,4,4,23000
350,565,5,3,4,23000
750,610,8,6,6,23000
750,610,8,6,4,23000
750,610,8,6,0,23000
350,565,5,3,4,23000
700,650,3,3,2,22900
700,610,6,4,1,22500
300,520,4,4,2,22000
300,520,4,4,3,22000
350,448,6,7,4,22000
350,448,6,7,2,22000
300,405,4,4,0,22000
1080,619,7,6,4,22000
600,852,5,5,4,22000
300,520,5,4,3,22000
400,650,7,4,4,22000
776,776,4,3,4,22000
500,520,5,4,4,22000
700,619,5,4,10,22000
350,520,5,4,2,21000
700,547,4,4,7,21000
300,500,4,3,4,21000
613,613,9,4,2,20999
440,660,9,5,5,20000
700,547,6,5,6,20000
346,450,5,5,2,19900
800,361,5,5,5,19000
360,606,7,4,0,19000
330,360,7,7,0,18500
300,520,4,3,3,18500
800,360,5,7,5,18500
800,361,5,4,4,18500
300,520,5,4,2,18500
200,450,5,3,2,18000
200,251,5,3,3,18000
300,410,5,3,0,18000
800,361,5,4,1,18000
200,251,5,3,3,18000
300,538,5,5,0,18000
750,724,4,2,3,17500
800,365,5,4,6,17500
390,608,9,3,5,17000
450,310,4,4,4,17000
600,550,5,6,6,17000
360,606,8,3,1,17000
800,361,7,5,6,16500
700,550,6,6,1,16500
700,550,6,6,0,16450
525,330,4,4,3,16000
140,246,6,6,1,16000
300,405,6,4,0,16000
500,420,4,4,4,16000
450,310,5,5,1,16000
400,400,5,4,4,16000
800,1225,6,9,2,15000
400,578,6,3,2,15000
339,643,7,5,5,15000
300,260,4,3,4,15000
350,400,7,4,3,15000
480,378,5,4,1,15000
800,692,5,4,4,15000
500,384,4,3,3,15000
500,400,9,6,4,15000
480,387,4,4,3,15000
450,475,5,5,5,15000
250,310,4,5,2,15000
400,580,5,4,3,15000
237,387,5,4,3,15000
200,385,5,5,0,15000
500,501,6,3,0,15000
700,700,5,3,4,15000
237,387,5,4,2,15000
500,310,3,3,4,14800
500,310,4,4,4,14800
500,310,4,4,4,14800
400,307,3,3,4,14500
500,307,10,7,2,14500
600,208,4,4,2,14500
500,307,3,4,2,14500
350,393,5,4,1,14250
300,700,8,5,2,14000
400,541,5,5,4,14000
440,393,6,6,6,14000
200,475,5,3,0,14000
600,429,6,4,1,13750
352,394,6,4,2,13500
350,278,6,4,0,13500
400,430,9,4,4,13500
235,256,3,2,2,13500
200,393,5,3,1,13000
800,370,6,5,4,13000
196,245,7,3,1,13000
250,322,4,3,2,13000
380,312,4,3,2,13000
225,322,4,3,2,13000
250,322,4,3,2,13000
216,384,3,3,2,13000
500,400,6,3,2,13000
350,248,4,4,1,13000
216,384,3,3,2,13000
600,208,4,5,4,13000
400,429,9,5,5,12999
480,312,6,4,4,12500
465,350,6,6,2,12500
480,312,4,3,2,12500
600,208,4,5,3,12500
600,208,4,5,4,12500
600,208,4,5,4,12500
250,189,6,4,2,12500
200,979,4,2,6,12500
480,312,4,2,1,12500
350,237,4,3,2,12000
385,404,4,3,0,12000
230,244,5,4,3,12000
400,312,4,4,2,12000
450,700,8,4,0,12000
240,303,6,6,4,12000
470,270,5,4,1,12000
500,590,10,10,0,12000
322,322,4,3,2,12000
350,198,7,5,4,12000
480,312,4,2,1,12000
600,208,4,5,4,11500
350,400,9,7,6,11500
400,300,9,6,6,11500
600,391,7,5,4,11000
280,344,3,3,2,11000
275,305,5,3,1,11000
275,305,5,3,1,11000
500,400,6,3,4,11000
399,384,4,4,0,11000
650,695,9,6,2,11000
646,428,5,5,6,10900
646,428,5,5,2,10900
500,400,6,5,3,10800
200,189,5,4,3,10750
500,345,6,4,2,10500
350,247,5,5,3,10500
420,430,7,4,2,10500
800,457,7,5,2,10500
218,118,3,3,2,10500
350,247,4,4,0,10500
200,189,5,2,0,10500
600,306,6,5,3,10000
450,750,8,6,1,10000
380,230,6,4,0,10000
674,775,4,3,0,10000
400,282,8,4,3,10000
350,273,4,3,4,10000
600,400,4,3,0,10000
300,264,5,4,0,10000
353,535,10,10,7,10000
300,368,4,4,4,10000
300,368,4,4,3,10000
350,250,5,3,2,9900
200,340,4,4,1,9900
162,342,5,3,2,9800
350,247,4,3,2,9800
759,319,4,4,4,9800
400,350,4,5,1,9800
400,248,5,5,3,9800
403,393,5,3,2,9790
450,248,5,5,4,9700
450,248,5,6,1,9700
300,368,4,3,3,9500
340,240,4,3,2,9500
385,380,5,4,2,9500
400,345,5,3,1,9500
380,386,7,4,4,9500
445,247,6,5,2,9500
340,240,7,4,2,9500
300,368,5,4,2,9500
500,345,8,5,4,9500
352,305,4,3,0,9500
280,304,5,5,0,9500
250,189,4,3,2,9500
450,240,4,4,1,9500
385,386,6,4,4,9300
650,695,9,6,1,9200
450,695,8,6,2,9200
450,700,8,4,4,9200
450,700,8,5,2,9200
650,695,6,8,1,9200
450,700,8,4,2,9200
399,384,3,3,1,9000
400,355,6,5,3,9000
350,240,6,4,3,9000
300,287,4,3,1,9000
211,234,7,5,4,9000
450,550,10,10,3,9000
350,300,4,4,0,9000
470,353,9,6,3,9000
470,353,9,6,3,9000
200,230,6,3,2,9000
350,305,5,5,3,9000
300,388,4,3,1,9000
350,305,4,4,3,9000
250,162,4,3,2,9000
470,353,9,6,0,9000
300,300,5,4,2,8900
150,205,5,2,2,8800
400,230,5,5,2,8800
400,230,5,5,3,8800
400,230,6,6,2,8800
400,230,5,5,3,8800
400,230,6,6,2,8800
300,322,4,4,2,8750
250,200,5,4,2,8750
250,200,4,4,2,8750
350,202,4,5,3,8750
180,137,4,4,2,8750
375,265,5,4,4,8700
160,261,4,4,2,8700
304,304,3,2,3,8555
234,300,5,4,1,8500
260,256,5,5,2,8500
550,440,8,5,5,8500
260,256,4,3,4,8500
200,385,5,5,0,8500
245,240,3,5,2,8500
300,325,5,3,2,8500
283,306,5,4,1,8500
300,205,4,4,4,8500
260,306,4,3,1,8300
460,290,6,5,2,8250
400,230,6,4,2,8250
460,282,6,5,2,8250
300,260,4,4,3,8200
245,240,3,3,2,8100
450,306,5,4,1,8000
250,300,3,3,2,8000
252,200,4,3,2,8000
300,232,6,5,0,8000
382,404,6,3,1,8000
350,178,8,6,2,8000
470,350,7,6,2,8000
330,240,5,5,3,8000
200,202,5,3,3,8000
260,306,5,4,2,8000
315,218,7,3,2,8000
278,278,7,3,2,8000
168,221,5,3,2,8000
152,230,3,3,1,8000
380,225,5,4,2,7900
380,225,5,3,2,7900
160,261,3,4,2,7800
200,253,4,3,3,7800
160,261,3,4,2,7800
250,315,3,3,2,7500
480,290,5,3,2,7500
200,288,4,2,1,7500
200,280,5,5,2,7500
444,200,10,10,2,7500
500,428,6,4,4,7500
300,325,5,4,2,7500
500,280,5,4,1,7500
320,360,7,4,0,7500
180,253,3,2,1,7500
150,253,5,2,2,7500
350,220,4,5,1,7500
150,288,5,3,1,7500
150,253,5,2,0,7500
180,200,5,4,1,7500
500,280,4,4,1,7500
350,250,5,4,1,7500
200,257,4,3,1,7400
300,325,5,4,6,7300
500,325,5,5,1,7300
250,161,3,3,2,7200
250,161,3,3,2,7200
250,161,3,3,2,7200
200,256,5,3,2,7200
250,162,5,3,2,7150
250,162,4,3,2,7150
200,265,6,3,3,7100
280,241,5,4,3,7100
200,256,6,3,3,7100
200,256,5,3,3,7100
350,180,3,3,0,7000
150,110,4,3,1,7000
280,220,4,3,4,7000
220,166,4,4,2,7000
500,428,6,6,4,7000
210,166,6,6,3,7000
400,182,4,3,2,7000
300,240,4,3,4,7000
300,182,4,3,2,7000
180,253,3,2,2,7000
330,187,7,4,2,7000
180,283,4,3,2,7000
500,428,8,6,4,7000
400,282,8,4,3,7000
150,190,4,4,2,6950
250,160,3,4,1,6900
250,125,3,2,2,6900
400,268,5,4,3,6900
219,338,5,3,3,6850
500,428,5,4,4,6800
500,428,6,4,5,6800
300,200,5,5,4,6800
375,130,4,5,4,6800
480,290,6,3,4,6800
350,210,4,4,2,6750
350,210,4,4,1,6750
350,210,4,4,1,6750
390,130,7,6,3,6700
250,125,3,3,3,6700
390,130,4,5,2,6700
350,270,5,4,2,6550
250,181,8,4,2,6500
270,140,3,3,4,6500
350,230,4,4,2,6500
250,125,3,3,3,6500
250,180,8,5,2,6500
220,181,8,6,1,6500
275,150,4,5,1,6500
250,200,6,3,2,6500
272,311,5,5,0,6500
300,173,4,4,2,6500
148,150,4,3,3,6500
250,180,8,4,1,6500
217,217,3,2,2,6500
220,150,3,3,1,6500
300,213,5,4,4,6500
250,181,8,6,1,6500
300,200,5,5,4,6500
168,221,5,2,1,6500
117,205,5,4,0,6500
200,222,6,2,2,6500
300,248,5,4,0,6500
245,125,4,3,3,6500
219,338,5,3,3,6500
200,222,4,2,1,6500
170,89,3,3,1,6500
300,200,5,5,1,6500
219,338,5,3,1,6500
130,160,4,1,2,6500
300,200,5,4,4,6500
250,180,8,5,2,6500
200,133,4,3,2,6300
250,180,4,3,1,6300
240,180,7,5,0,6250
200,320,4,3,2,6250
150,150,3,3,2,6250
251,140,5,4,5,6200
390,130,7,6,3,6200
170,200,8,5,2,6200
260,138,6,5,0,6200
220,150,4,4,2,6200
375,130,6,5,3,6100
390,130,7,6,3,6100
250,204,5,3,2,6100
375,130,5,4,3,6100
450,260,7,4,0,6000
325,222,6,5,0,6000
220,150,4,4,2,6000
168,221,5,3,2,6000
340,173,5,4,2,6000
450,260,7,4,1,6000
350,210,5,5,1,6000
150,250,4,4,2,6000
325,225,7,5,2,6000
300,150,5,4,2,6000
325,222,6,4,1,6000
450,240,9,9,0,6000
150,200,5,4,2,6000
300,284,7,3,3,6000
250,198,7,4,2,6000
400,150,5,4,1,6000
210,203,5,3,1,6000
150,159,5,4,2,6000
250,141,4,4,3,6000
250,170,5,5,3,6000
295,352,6,4,5,6000
350,220,5,5,2,6000
240,240,4,4,3,5999
350,220,5,5,2,5990
350,210,5,4,3,5990
220,200,5,4,1,5950
220,200,3,3,2,5950
340,134,5,4,3,5900
250,202,5,4,2,5900
140,107,3,3,3,5900
272,311,4,4,5,5900
350,130,6,6,3,5899
220,138,4,3,2,5850
175,200,6,4,2,5800
180,141,4,3,2,5800
220,141,4,4,3,5800
340,173,5,4,2,5800
170,141,4,3,1,5800
200,138,5,4,2,5800
280,170,5,4,2,5800
320,183,6,3,3,5750
250,121,4,4,2,5750
350,240,7,5,0,5750
350,240,7,5,0,5750
250,162,4,4,2,5700
250,190,4,3,1,5700
250,225,5,3,2,5600
250,225,5,3,2,5600
156,192,6,2,2,5600
156,192,5,2,2,5600
300,266,6,4,4,5500
300,140,3,3,2,5500
410,205,4,4,2,5500
265,250,4,3,2,5500
300,173,4,4,2,5500
170,270,6,3,1,5500
200,150,5,3,1,5500
210,239,8,5,1,5500
420,210,6,5,2,5500
147,107,6,4,1,5500
225,326,7,2,0,5500
424,311,5,4,4,5500
360,140,4,4,2,5500
147,107,6,4,2,5500
200,250,4,3,3,5500
170,270,6,3,1,5500
350,230,5,5,3,5500
170,270,6,3,1,5500
117,205,5,4,0,5500
200,454,3,4,1,5500
200,221,5,2,2,5500
180,140,3,4,0,5500
300,248,5,4,3,5500
250,140,5,3,1,5500
280,216,4,3,3,5500
200,145,3,3,2,5300
195,199,5,2,1,5300
147,108,4,3,2,5250
300,260,7,3,1,5200
200,305,5,2,3,5100
320,150,7,6,2,5000
100,220,2,1,0,5000
220,217,3,3,1,5000
410,205,3,3,1,5000
180,127,5,4,2,5000
320,150,7,6,2,5000
180,127,4,4,2,5000
250,335,7,5,1,5000
180,107,6,5,2,5000
250,180,5,3,2,5000
250,217,3,3,1,5000
320,150,9,5,0,5000
200,130,5,4,1,5000
325,160,9,6,2,5000
275,210,6,5,3,5000
328,150,7,6,2,5000
325,160,5,5,0,5000
320,150,5,5,1,5000
320,150,7,6,1,5000
330,335,8,4,1,5000
320,150,5,5,3,5000
300,154,5,3,3,4970
225,110,5,4,2,4950
225,110,5,4,2,4950
250,266,3,2,1,4900
280,170,5,4,3,4900
215,135,9,8,0,4900
179,158,4,4,2,4900
300,265,4,3,0,4850
250,170,4,4,3,4800
325,226,4,4,3,4800
200,150,5,5,2,4750
180,137,4,4,2,4750
180,196,5,5,1,4750
280,102,4,3,3,4700
222,145,4,3,2,4700
180,137,4,3,2,4700
200,150,4,4,2,4700
250,150,4,3,2,4700
320,135,6,5,1,4650
250,184,4,3,2,4600
200,147,4,3,1,4600
180,137,4,3,2,4600
180,137,5,4,2,4600
250,151,5,3,4,4600
176,137,5,4,2,4600
215,135,9,8,2,4600
170,136,5,4,2,4595
100,161,4,2,1,4525
128,90,3,3,1,4500
150,179,3,2,1,4500
250,154,6,3,1,4500
230,180,4,4,1,4500
140,140,5,4,2,4500
250,96,5,4,1,4500
247,105,5,5,1,4500
250,96,5,4,1,4500
140,140,3,2,1,4500
325,226,6,4,1,4500
250,96,4,5,2,4500
180,135,4,3,1,4500
200,180,4,3,1,4500
200,148,4,3,1,4500
175,125,3,3,2,4500
120,145,6,4,2,4500
200,148,5,4,2,4500
220,140,5,4,2,4500
250,96,5,4,2,4500
320,146,5,5,3,4500
250,110,4,3,1,4500
120,154,6,4,1,4500
251,106,4,3,2,4500
200,146,4,4,2,4500
150,200,3,2,2,4500
250,140,5,4,2,4499
250,130,4,3,2,4400
200,195,7,2,2,4400
250,96,6,5,2,4400
180,132,4,3,2,4350
100,124,3,2,2,4340
170,112,4,5,2,4300
135,146,6,6,1,4300
180,135,4,4,2,4300
250,90,4,4,2,4300
180,127,4,4,2,4300
200,145,3,3,2,4300
250,155,5,3,2,4300
117,205,4,3,3,4300
200,145,3,3,2,4300
300,180,5,4,2,4300
200,150,5,3,4,4250
180,120,4,3,2,4200
160,140,4,3,2,4200
220,115,4,3,0,4200
285,160,5,6,1,4200
400,225,5,4,2,4200
150,100,4,4,0,4200
200,165,4,2,0,4200
250,206,5,4,1,4200
120,143,6,3,2,4200
216,135,5,4,1,4150
220,110,4,3,2,4100
180,155,4,3,1,4100
139,230,4,4,1,4000
216,135,5,4,2,4000
200,146,3,1,1,4000
89,175,3,3,2,4000
250,135,4,5,1,4000
160,140,4,3,2,4000
150,120,4,3,1,4000
139,230,4,4,1,4000
