NO,LB,LT,KT,KM,GRS,HARGA_JUTA
0,220,220,3,3,0,3800
1,180,137,4,3,2,4600
2,267,250,4,4,4,3000
3,40,25,2,2,0,430
4,400,355,6,5,3,9000
5,300,154,5,3,3,4970
6,120,150,3,2,1,2600
7,350,247,4,4,0,10500
8,125,90,3,3,0,3250
9,250,96,5,4,1,4500
10,154,110,3,3,3,3600
11,450,240,4,4,1,9500
12,218,118,3,3,2,10500
13,200,979,4,2,6,12500
14,180,137,5,4,2,4600
15,126,144,4,2,2,3000
16,400,150,5,4,1,6000
17,150,253,5,2,2,7500
18,200,251,5,3,3,18000
19,450,248,5,5,4,9700
20,300,700,8,5,2,14000
21,315,218,7,3,2,8000
22,75,75,2,3,0,700
23,350,230,5,5,3,5500
24,650,695,9,6,2,11000
25,250,199,8,2,2,4000
26,210,130,3,4,2,3900
27,300,200,5,5,4,6500
28,175,200,6,4,2,5800
29,140,110,3,3,2,3200
30,400,230,5,5,2,8800
31,900,600,7,7,1,42000
32,102,102,2,1,0,1100
33,646,428,5,5,2,10900
34,145,200,8,8,1,3600
35,220,120,4,4,3,4000
36,325,222,6,5,0,6000
37,300,200,5,5,1,6500
38,250,154,6,3,1,4500
39,247,105,5,5,1,4500
40,200,140,4,4,2,4000
41,150,90,3,2,2,2600
42,210,239,8,5,1,5500
43,339,643,7,5,5,15000
44,190,100,5,4,2,3500
45,450,240,9,9,0,6000
46,300,232,6,5,0,8000
47,352,305,4,3,0,9500
48,135,146,6,6,1,4300
49,200,135,3,4,0,3800
50,850,600,7,7,0,41000
51,190,175,4,2,1,4000
52,120,90,4,1,1,2500
53,180,196,5,5,1,4750
54,750,610,8,6,4,23000
55,250,96,6,5,2,4400
56,220,140,5,4,2,4500
57,250,180,5,3,2,5000
58,200,393,5,3,1,13000
59,216,135,5,4,1,4150
60,260,130,6,3,2,3800
61,300,410,5,3,0,18000
62,245,240,3,3,2,8100
63,147,108,4,3,2,5250
64,120,145,6,4,2,4500
65,170,200,8,5,2,6200
66,250,200,6,3,2,6500
67,170,112,4,5,2,3500
68,150,149,3,2,0,3199
69,150,130,3,2,1,3200
70,200,130,3,3,1,3799
71,250,198,7,4,2,6000
72,403,393,5,3,2,9790
73,170,270,6,3,1,5500
74,120,135,4,3,1,3350
75,78,80,3,2,0,750
76,250,165,6,4,2,3500
77,180,137,4,3,2,4700
78,170,112,3,4,1,3500
79,160,90,4,2,1,2850
80,160,110,3,3,2,3500
81,120,137,5,2,0,3100
82,196,245,7,3,1,13000
83,170,112,4,5,2,4300
84,180,140,3,4,0,5500
85,350,210,4,4,1,6750
86,200,104,4,3,1,3200
87,460,282,6,5,2,8250
88,150,130,5,2,1,3250
89,110,150,3,2,0,3499
90,330,335,8,4,1,5000
91,445,247,6,5,2,9500
92,140,104,4,3,1,3400
93,325,160,9,6,2,5000
94,250,225,5,3,2,5600
95,180,135,4,3,1,4500
96,500,400,6,5,3,10800
97,210,91,5,4,1,2600
98,180,127,4,4,1,3600
99,170,112,3,4,2,3450
100,200,257,4,3,1,7400
101,400,282,8,4,3,10000
102,800,1225,6,9,2,15000
103,800,752,6,4,0,30000
104,170,108,5,3,3,3500
105,100,80,3,2,0,1700
106,250,141,5,3,2,3500
107,100,90,3,2,0,1300
108,160,90,5,3,1,2800
109,325,160,5,5,0,5000
110,150,80,5,3,1,3200
111,275,305,5,3,1,11000
112,320,150,5,5,1,5000
113,70,98,2,1,0,2200
114,156,192,5,2,2,5600
115,211,180,5,4,3,3800
116,200,146,3,1,1,4000
117,800,692,5,4,4,15000
118,200,130,4,4,2,3850
119,160,140,4,3,2,4200
120,350,210,5,4,3,5990
121,180,152,4,3,2,4000
122,850,600,5,5,5,42000
123,340,240,4,3,2,9500
124,190,140,4,4,2,4000
125,139,230,4,4,1,4000
126,400,282,8,4,3,7000
127,100,161,4,2,1,4525
128,485,550,5,6,2,25000
129,346,450,5,5,2,19900
130,400,578,6,3,2,15000
131,170,146,3,3,1,3600
132,200,148,4,3,1,3950
133,200,130,3,2,2,3900
134,236,137,4,3,2,3850
135,450,695,8,6,2,9200
136,220,200,3,3,2,5950
137,500,280,4,4,1,7500
138,200,103,3,3,1,3100
139,400,182,4,3,2,7000
140,550,840,5,3,6,25000
141,280,344,3,3,2,11000
142,180,132,4,3,2,4350
143,355,1069,5,4,4,25000
144,250,155,5,3,2,4300
145,400,230,6,6,2,8800
146,216,384,3,3,2,13000
147,250,150,4,3,2,4700
148,250,161,3,3,2,7200
149,192,120,5,4,2,3500
150,380,225,5,3,2,7900
151,150,103,3,3,2,2800
152,130,75,3,3,1,2600
153,250,202,5,4,2,5900
154,78,69,4,2,0,850
155,250,180,4,2,0,3600
156,219,338,5,3,3,6850
157,325,226,6,4,1,4500
158,120,150,3,2,1,2600
159,350,240,7,5,0,5750
160,140,140,5,3,1,2999
161,180,127,5,4,2,5000
162,200,135,7,4,2,4000
163,150,112,4,4,1,3500
164,375,130,5,4,3,6100
165,800,498,5,5,5,30000
166,250,181,8,4,2,6500
167,150,112,3,5,2,3750
168,200,133,4,3,2,6300
169,480,387,4,4,3,15000
